=========================================
This for gpu 0
=========================================
937
step=106	smmoth=0.576686	cost=0.286700	acc:0.921875
step=107	smmoth=0.558336	cost=0.393187	acc:0.875000
step=108	smmoth=0.531708	cost=0.292057	acc:0.906250
step=109	smmoth=0.513434	cost=0.348968	acc:0.875000
step=110	smmoth=0.511281	cost=0.491907	acc:0.781250
step=111	smmoth=0.501394	cost=0.412405	acc:0.875000
step=112	smmoth=0.513019	cost=0.617649	acc:0.828125
step=113	smmoth=0.513689	cost=0.519719	acc:0.812500
step=114	smmoth=0.473864	cost=0.115434	acc:0.984375
step=115	smmoth=0.464911	cost=0.384335	acc:0.843750
step=116	smmoth=0.506022	cost=0.876026	acc:0.687500
step=117	smmoth=0.567242	cost=1.118218	acc:0.703125
step=118	smmoth=0.579640	cost=0.691227	acc:0.812500
step=119	smmoth=0.573237	cost=0.515605	acc:0.781250
step=120	smmoth=0.559015	cost=0.431016	acc:0.859375
step=121	smmoth=0.529890	cost=0.267767	acc:0.953125
step=122	smmoth=0.534503	cost=0.576022	acc:0.796875
step=123	smmoth=0.526118	cost=0.450652	acc:0.890625
step=124	smmoth=0.506156	cost=0.326495	acc:0.906250
step=125	smmoth=0.480407	cost=0.248665	acc:0.921875
step=126	smmoth=0.474204	cost=0.418378	acc:0.843750
step=127	smmoth=0.470790	cost=0.440061	acc:0.828125
step=128	smmoth=0.468877	cost=0.451668	acc:0.843750
step=129	smmoth=0.453078	cost=0.310888	acc:0.890625
step=130	smmoth=0.447287	cost=0.395160	acc:0.906250
step=131	smmoth=0.446110	cost=0.435523	acc:0.843750
step=132	smmoth=0.442621	cost=0.411216	acc:0.828125
step=133	smmoth=0.458249	cost=0.598903	acc:0.828125
step=134	smmoth=0.438328	cost=0.259039	acc:0.937500
step=135	smmoth=0.410496	cost=0.160008	acc:0.968750
step=136	smmoth=0.430097	cost=0.606507	acc:0.812500
step=137	smmoth=0.446122	cost=0.590348	acc:0.843750
step=138	smmoth=0.474329	cost=0.728194	acc:0.750000
step=139	smmoth=0.496453	cost=0.695565	acc:0.828125
step=140	smmoth=0.492945	cost=0.461371	acc:0.890625
step=141	smmoth=0.489083	cost=0.454325	acc:0.812500
step=142	smmoth=0.472304	cost=0.321299	acc:0.906250
step=143	smmoth=0.452255	cost=0.271809	acc:0.921875
step=144	smmoth=0.458169	cost=0.511398	acc:0.859375
step=145	smmoth=0.478841	cost=0.664882	acc:0.734375
